ID,Género,Grupo Étnico,Nivel Educativo Padres,Tipo De Almuerzo,Preparación Para Examen,Nota Matemáticas,Nota Lectura,Nota Escritura,Estado Civil Padres,Práctica Deportiva,Medio De Transporte,Horas De Estudio Semanal
9615,female,group D,some college,standard,none,50,58,64,married,regularly,private,> 10
9616,male,group A,some high school,standard,none,71,66,62,not specified,never,school_bus,5 - 10
9617,male,group E,some college,free/reduced,completed,61,59,57,married,regularly,school_bus,> 10
9618,female,group C,some high school,standard,none,72,89,90,single,sometimes,school_bus,> 10
9619,female,group E,some college,free/reduced,none,71,69,68,divorced,regularly,private,> 10
9620,female,group E,some college,standard,completed,68,63,65,single,never,private,> 10
9621,male,group A,bachelor's degree,free/reduced,completed,84,83,84,married,regularly,school_bus,< 5
9622,female,group E,bachelor's degree,free/reduced,none,54,55,55,single,sometimes,school_bus,< 5
9623,male,group D,bachelor's degree,free/reduced,none,80,79,87,married,sometimes,school_bus,5 - 10
9624,male,group E,associate's degree,standard,none,67,54,49,married,sometimes,school_bus,5 - 10
9625,male,group B,associate's degree,free/reduced,none,66,73,70,divorced,regularly,school_bus,< 5
9626,male,group C,some college,standard,completed,69,71,71,divorced,never,private,> 10
9627,female,group C,bachelor's degree,standard,none,65,66,67,divorced,regularly,private,> 10
9628,male,group B,high school,standard,completed,75,77,74,married,sometimes,private,5 - 10
9629,male,group E,high school,free/reduced,completed,58,61,56,widowed,never,school_bus,< 5
9630,female,group B,associate's degree,free/reduced,none,68,88,91,married,regularly,walking,< 5
9631,female,group C,high school,free/reduced,none,39,54,48,married,never,school_bus,5 - 10
9632,male,group D,associate's degree,free/reduced,completed,72,66,71,married,regularly,school_bus,5 - 10
9633,female,group C,some college,free/reduced,none,44,54,54,married,never,school_bus,5 - 10
9634,female,group D,some college,standard,completed,67,75,79,single,sometimes,walking,< 5
9635,female,group E,some college,standard,completed,79,85,89,married,sometimes,school_bus,5 - 10
9636,female,group A,some high school,standard,none,71,83,76,married,sometimes,school_bus,5 - 10
9637,female,group C,bachelor's degree,free/reduced,none,74,91,84,single,sometimes,private,5 - 10
9638,female,group C,high school,standard,none,45,54,51,single,regularly,school_bus,5 - 10
9639,female,group B,some high school,free/reduced,none,31,46,44,married,regularly,school_bus,< 5
9640,male,group E,some college,free/reduced,completed,70,69,72,single,regularly,school_bus,5 - 10
9641,female,group C,high school,free/reduced,completed,67,73,75,married,sometimes,school_bus,5 - 10
9642,male,group D,some college,standard,none,65,61,55,not specified,sometimes,school_bus,> 10
9643,female,group C,bachelor's degree,free/reduced,completed,29,44,46,married,sometimes,private,< 5
9644,male,group C,high school,standard,completed,63,62,60,married,regularly,school_bus,> 10
9645,male,group D,some college,standard,none,69,64,64,married,regularly,school_bus,5 - 10
9646,male,group C,master's degree,free/reduced,none,67,63,66,single,sometimes,school_bus,< 5
9647,female,group E,high school,standard,none,87,90,89,married,sometimes,school_bus,5 - 10
9648,male,group A,some college,free/reduced,completed,52,62,61,married,sometimes,school_bus,5 - 10
9649,female,group B,high school,standard,none,29,41,42,married,regularly,school_bus,5 - 10
9650,female,group B,bachelor's degree,standard,completed,56,70,69,widowed,never,private,> 10
9651,male,group C,some high school,free/reduced,completed,67,60,57,single,sometimes,school_bus,< 5
9652,male,group C,bachelor's degree,standard,completed,83,71,69,married,never,school_bus,5 - 10
9653,female,group B,high school,standard,none,74,87,79,divorced,regularly,school_bus,< 5
9654,female,group D,bachelor's degree,free/reduced,none,63,66,65,married,sometimes,school_bus,5 - 10
9655,female,group B,bachelor's degree,standard,none,64,77,78,single,regularly,school_bus,5 - 10
9656,female,group C,some high school,standard,none,71,81,76,divorced,never,private,5 - 10
9657,female,group C,associate's degree,standard,none,87,92,96,married,never,school_bus,5 - 10
9658,female,group D,high school,free/reduced,none,67,78,74,single,regularly,school_bus,5 - 10
9659,male,group D,some college,standard,none,87,91,85,married,sometimes,private,5 - 10
9660,female,group C,some high school,standard,none,69,76,81,married,sometimes,private,< 5
9661,female,group E,associate's degree,standard,none,86,89,83,married,regularly,school_bus,5 - 10
9662,male,group C,some college,free/reduced,none,50,49,44,divorced,regularly,school_bus,5 - 10
9663,male,group A,associate's degree,free/reduced,none,58,69,61,married,sometimes,school_bus,5 - 10
9664,male,group C,bachelor's degree,free/reduced,none,72,72,67,single,regularly,school_bus,< 5
9665,male,group D,some high school,standard,none,75,69,65,married,sometimes,private,> 10
9666,female,group C,some high school,standard,completed,66,68,69,married,regularly,school_bus,5 - 10
9667,female,group D,associate's degree,free/reduced,none,34,47,48,married,regularly,school_bus,5 - 10
9668,male,group E,some college,free/reduced,none,43,47,40,single,sometimes,walking,5 - 10
9669,female,group C,high school,standard,completed,88,93,97,married,sometimes,school_bus,5 - 10
9670,male,group D,high school,standard,completed,60,58,54,married,never,private,< 5
9671,female,group D,associate's degree,standard,none,83,79,78,married,regularly,school_bus,> 10
9672,female,group C,high school,standard,none,44,57,50,married,sometimes,private,5 - 10
9673,male,group C,bachelor's degree,free/reduced,none,78,69,69,married,sometimes,school_bus,5 - 10
9674,male,group D,high school,standard,none,57,61,57,single,regularly,private,< 5
9675,male,group D,some high school,standard,completed,43,41,44,married,sometimes,school_bus,< 5
9676,female,group C,associate's degree,standard,none,66,75,85,married,sometimes,private,> 10
9677,male,group E,bachelor's degree,standard,completed,100,98,100,single,regularly,school_bus,< 5
9678,male,group D,some college,free/reduced,none,56,51,44,married,regularly,school_bus,5 - 10
9679,female,group C,some college,standard,none,69,79,73,married,sometimes,walking,5 - 10
9680,female,group C,high school,free/reduced,none,70,73,73,married,never,walking,5 - 10
9681,female,group E,some college,standard,none,84,85,85,divorced,sometimes,school_bus,< 5
9682,male,group E,bachelor's degree,standard,none,70,51,51,married,sometimes,school_bus,< 5
9683,female,group A,associate's degree,standard,none,70,81,81,married,regularly,school_bus,5 - 10
9684,female,group C,bachelor's degree,standard,none,71,74,75,married,sometimes,private,5 - 10
9685,male,group C,some high school,standard,none,76,75,70,married,never,school_bus,> 10
9686,male,group D,some high school,standard,none,66,62,64,single,regularly,private,< 5
9687,female,group A,high school,standard,completed,67,75,82,single,sometimes,private,5 - 10
9688,female,group C,some college,standard,none,58,66,62,married,sometimes,school_bus,< 5
9689,female,group C,associate's degree,standard,completed,61,70,72,single,never,school_bus,> 10
9690,female,group B,high school,free/reduced,none,43,49,49,married,sometimes,private,5 - 10
9691,male,group D,some high school,standard,none,58,51,45,not specified,regularly,private,5 - 10
9692,female,group E,bachelor's degree,standard,none,72,74,75,married,regularly,school_bus,5 - 10
9693,female,group C,some high school,standard,completed,82,90,89,single,sometimes,school_bus,< 5
9694,female,group E,high school,free/reduced,completed,71,70,79,not specified,regularly,private,5 - 10
9695,male,group C,high school,standard,completed,83,69,73,divorced,never,school_bus,> 10
9696,female,group B,high school,free/reduced,none,51,70,64,married,sometimes,walking,> 10
9697,female,group D,bachelor's degree,standard,none,58,64,62,married,regularly,school_bus,< 5
9698,male,group C,some college,standard,none,80,76,79,married,regularly,school_bus,< 5
9699,female,group B,some college,standard,none,71,84,80,single,sometimes,private,> 10
9700,male,group C,high school,standard,none,58,48,49,married,never,school_bus,< 5
9701,female,group E,some high school,free/reduced,completed,80,83,90,married,regularly,school_bus,< 5
9702,male,group D,associate's degree,standard,none,81,60,63,married,regularly,school_bus,5 - 10
9703,female,group C,bachelor's degree,standard,none,57,73,69,single,regularly,private,5 - 10
9704,male,group A,high school,standard,completed,71,75,65,married,regularly,private,5 - 10
9705,male,group D,high school,standard,none,64,55,55,married,regularly,school_bus,< 5
9706,female,group C,some college,free/reduced,none,36,50,41,married,regularly,school_bus,5 - 10
9707,male,group B,bachelor's degree,standard,none,65,57,56,married,sometimes,school_bus,< 5
9708,female,group C,some high school,standard,none,64,71,69,single,sometimes,walking,< 5
9709,male,group D,bachelor's degree,free/reduced,none,62,60,49,married,regularly,private,< 5
9710,male,group B,high school,standard,none,67,59,51,divorced,sometimes,school_bus,> 10
9711,male,group B,bachelor's degree,free/reduced,completed,62,71,71,widowed,sometimes,school_bus,> 10
9712,male,group C,some college,free/reduced,completed,57,61,58,single,sometimes,private,> 10
9713,male,group C,master's degree,standard,none,80,72,73,single,sometimes,school_bus,< 5
9714,female,group D,high school,free/reduced,none,55,61,63,married,sometimes,walking,< 5
9715,female,group D,some high school,free/reduced,completed,54,64,67,married,sometimes,school_bus,< 5
9716,male,group D,some college,standard,completed,74,60,66,married,sometimes,private,5 - 10
9717,female,group D,high school,standard,completed,87,94,97,single,regularly,private,> 10
9718,male,group C,some college,standard,completed,95,96,88,married,never,school_bus,> 10
9719,male,group D,associate's degree,standard,none,55,47,50,married,never,school_bus,5 - 10
9720,male,group D,bachelor's degree,standard,none,93,93,87,single,sometimes,school_bus,> 10
9721,female,group B,some college,standard,none,73,64,73,married,regularly,school_bus,5 - 10
9722,female,group D,high school,free/reduced,none,55,58,65,not specified,regularly,school_bus,< 5
9723,female,group A,high school,standard,none,67,75,77,not specified,sometimes,private,5 - 10
9724,male,group D,high school,standard,none,81,78,75,married,sometimes,walking,> 10
9725,male,group E,some college,standard,none,90,89,86,married,regularly,private,> 10
9726,male,group C,some college,standard,none,64,65,65,married,regularly,private,5 - 10
9727,female,group C,some high school,standard,none,38,47,45,married,regularly,private,5 - 10
9728,male,group E,high school,standard,none,66,54,54,single,regularly,private,< 5
9729,male,group E,associate's degree,standard,none,81,70,71,married,sometimes,private,5 - 10
9730,male,group C,some high school,standard,none,49,38,34,single,regularly,private,< 5
9731,male,group A,associate's degree,standard,none,55,46,48,divorced,regularly,school_bus,5 - 10
9732,female,group E,associate's degree,free/reduced,none,54,60,60,married,sometimes,school_bus,5 - 10
9733,male,group B,some college,standard,completed,74,67,71,married,sometimes,school_bus,5 - 10
9734,male,group E,bachelor's degree,free/reduced,completed,74,76,71,widowed,never,school_bus,< 5
9735,female,group D,associate's degree,free/reduced,completed,80,90,91,married,never,school_bus,< 5
9736,female,group D,some college,standard,completed,56,66,70,single,sometimes,walking,5 - 10
9737,male,group D,some college,standard,none,56,54,51,married,never,school_bus,5 - 10
9738,female,group B,associate's degree,standard,none,46,65,66,married,sometimes,private,5 - 10
9739,male,group E,some high school,standard,none,73,72,60,married,regularly,private,5 - 10
9740,male,group C,some college,standard,completed,72,78,70,married,sometimes,school_bus,5 - 10
9741,female,group C,master's degree,standard,none,73,84,75,single,regularly,school_bus,> 10
9742,female,group D,some high school,free/reduced,none,58,65,68,married,regularly,school_bus,5 - 10
9743,female,group A,some college,standard,completed,43,57,58,married,regularly,school_bus,5 - 10
9744,female,group A,high school,standard,completed,51,70,61,married,sometimes,school_bus,< 5
9745,male,group E,master's degree,free/reduced,none,81,77,73,married,regularly,private,5 - 10
9746,male,group C,associate's degree,standard,none,66,57,51,married,sometimes,school_bus,5 - 10
9747,male,group A,bachelor's degree,standard,none,79,82,78,divorced,sometimes,private,5 - 10
9748,female,group A,bachelor's degree,standard,none,45,59,61,single,sometimes,school_bus,5 - 10
9749,female,group D,associate's degree,standard,none,85,94,92,single,sometimes,school_bus,5 - 10
9750,female,group B,some college,free/reduced,none,49,71,69,single,never,school_bus,5 - 10
9751,male,group C,some college,free/reduced,completed,77,67,70,married,regularly,private,> 10
9752,female,group E,some college,standard,completed,85,86,86,divorced,regularly,walking,> 10
9753,male,group B,high school,standard,completed,39,46,49,married,regularly,walking,> 10
9754,female,group D,some college,free/reduced,none,47,61,58,divorced,sometimes,private,5 - 10
9755,female,group B,high school,standard,completed,63,66,70,single,sometimes,school_bus,5 - 10
9756,female,group C,some college,free/reduced,none,69,70,71,married,regularly,school_bus,> 10
9757,female,group C,associate's degree,standard,none,78,80,76,divorced,sometimes,school_bus,5 - 10
9758,female,group B,some high school,free/reduced,none,15,17,18,married,regularly,school_bus,5 - 10
9759,male,group C,bachelor's degree,standard,none,82,87,76,married,regularly,private,> 10
9760,female,group E,high school,standard,none,85,79,79,married,regularly,school_bus,5 - 10
9761,male,group C,high school,standard,completed,60,62,63,single,regularly,school_bus,5 - 10
9762,male,group C,some high school,standard,none,52,54,46,single,regularly,private,5 - 10
9763,male,group C,associate's degree,free/reduced,completed,37,43,39,married,sometimes,walking,< 5
9764,male,group D,high school,standard,completed,86,77,73,married,regularly,walking,< 5
9765,female,group C,bachelor's degree,standard,completed,70,82,81,married,sometimes,school_bus,5 - 10
9766,male,group C,some college,standard,completed,84,77,82,divorced,sometimes,school_bus,< 5
9767,male,group A,associate's degree,standard,none,52,39,37,married,sometimes,private,< 5
9768,male,group D,associate's degree,standard,none,59,62,57,single,regularly,private,5 - 10
9769,male,group E,high school,standard,none,83,74,72,married,regularly,school_bus,5 - 10
9770,male,group C,some high school,free/reduced,completed,75,58,61,married,regularly,private,5 - 10
9771,female,group B,bachelor's degree,standard,none,82,95,82,married,regularly,private,< 5
9772,male,group D,some college,free/reduced,none,61,62,55,not specified,sometimes,school_bus,5 - 10
9773,male,group B,associate's degree,standard,none,72,60,61,single,sometimes,private,< 5
9774,male,group B,bachelor's degree,standard,none,83,80,75,single,sometimes,private,> 10
9775,female,group B,associate's degree,free/reduced,none,62,76,78,married,regularly,walking,5 - 10
9776,female,group B,associate's degree,free/reduced,none,62,71,71,single,sometimes,private,< 5
9777,male,group C,high school,standard,completed,62,53,55,married,sometimes,private,5 - 10
9778,male,group D,some college,standard,completed,65,61,61,married,sometimes,private,5 - 10
9779,female,group D,some high school,free/reduced,none,67,69,69,not specified,regularly,school_bus,5 - 10
9780,female,group E,some high school,standard,none,87,82,82,married,sometimes,private,5 - 10
9781,male,group B,bachelor's degree,standard,none,94,80,80,married,sometimes,school_bus,> 10
9782,male,group C,high school,standard,none,59,62,50,married,regularly,school_bus,5 - 10
9783,female,group A,some college,standard,completed,58,78,74,single,regularly,school_bus,< 5
9784,male,group B,some high school,standard,none,89,84,78,married,regularly,private,< 5
9785,female,group D,high school,standard,none,80,85,87,married,sometimes,private,5 - 10
9786,female,group D,some high school,free/reduced,completed,43,51,53,married,regularly,private,< 5
9787,male,group B,associate's degree,standard,none,74,71,69,married,regularly,private,> 10
9788,female,group B,associate's degree,standard,completed,59,62,66,single,regularly,private,5 - 10
9789,male,group C,some college,free/reduced,completed,74,83,75,single,regularly,walking,> 10
9790,male,group C,some college,standard,completed,80,76,77,married,sometimes,school_bus,< 5
9791,female,group C,some high school,standard,none,54,60,57,married,regularly,school_bus,> 10
9792,male,group C,associate's degree,free/reduced,completed,84,86,89,single,sometimes,school_bus,5 - 10
9793,female,group C,some college,standard,none,67,82,77,married,sometimes,school_bus,< 5
9794,female,group A,associate's degree,standard,none,73,74,84,married,regularly,private,5 - 10
9795,male,group A,some college,standard,completed,76,69,73,not specified,regularly,private,5 - 10
9796,male,group E,high school,free/reduced,completed,71,65,64,married,never,school_bus,> 10
9797,male,group C,high school,free/reduced,completed,63,56,60,single,sometimes,school_bus,< 5
9798,male,group D,master's degree,free/reduced,completed,47,44,51,single,sometimes,walking,5 - 10
9799,male,group D,associate's degree,standard,completed,91,81,80,married,regularly,school_bus,5 - 10
9800,male,group C,some high school,free/reduced,none,57,62,58,single,never,school_bus,5 - 10
9801,male,group A,high school,free/reduced,none,66,62,57,married,sometimes,school_bus,< 5
9802,male,group C,high school,standard,none,80,67,62,single,regularly,private,> 10
9803,female,group C,some high school,standard,none,54,74,69,divorced,regularly,school_bus,5 - 10
9804,male,group C,high school,standard,completed,82,74,74,single,sometimes,school_bus,5 - 10
9805,female,group C,some college,standard,none,87,94,90,divorced,sometimes,school_bus,5 - 10
9806,female,group C,some college,standard,none,67,74,69,single,sometimes,walking,< 5
9807,male,group C,master's degree,standard,completed,80,80,82,married,sometimes,school_bus,5 - 10
9808,female,group C,high school,standard,completed,71,82,82,single,sometimes,school_bus,< 5
9809,male,group D,associate's degree,free/reduced,none,61,67,63,married,sometimes,school_bus,5 - 10
9810,female,group B,some high school,free/reduced,completed,54,64,61,single,regularly,school_bus,> 10
9811,male,group C,some high school,standard,none,58,55,55,single,sometimes,private,< 5
9812,male,group D,high school,free/reduced,completed,72,71,72,married,sometimes,private,5 - 10
9813,male,group D,bachelor's degree,standard,completed,89,90,96,married,sometimes,walking,5 - 10
9814,male,group D,some college,standard,completed,88,84,83,single,sometimes,walking,< 5
9815,female,group C,high school,standard,completed,72,85,86,married,sometimes,school_bus,> 10
9816,female,group C,associate's degree,standard,none,71,65,67,married,sometimes,private,< 5
9817,male,group C,high school,standard,none,79,76,63,single,never,private,< 5
9818,male,group D,associate's degree,free/reduced,completed,64,62,67,divorced,regularly,private,5 - 10
9819,female,group D,some high school,standard,none,85,93,88,married,regularly,school_bus,5 - 10
9820,female,group D,bachelor's degree,standard,none,75,84,83,married,never,private,5 - 10
9821,male,group C,master's degree,free/reduced,none,55,56,51,married,sometimes,school_bus,> 10
9822,female,group B,associate's degree,standard,none,66,85,79,single,sometimes,walking,5 - 10
9823,female,group D,some college,free/reduced,none,55,70,65,married,never,school_bus,< 5
9824,female,group E,master's degree,standard,none,83,86,84,married,regularly,school_bus,5 - 10
9825,male,group C,some high school,standard,none,78,83,81,divorced,sometimes,private,5 - 10
9826,female,group A,some high school,free/reduced,completed,32,42,50,single,regularly,school_bus,5 - 10
9827,female,group D,associate's degree,free/reduced,none,44,65,63,married,sometimes,school_bus,5 - 10
9828,male,group C,master's degree,standard,none,94,91,85,divorced,sometimes,walking,5 - 10
9829,female,group B,associate's degree,standard,none,87,92,96,married,regularly,private,> 10
9830,female,group C,some college,free/reduced,none,41,46,44,not specified,sometimes,school_bus,< 5
9831,female,group E,bachelor's degree,standard,none,69,79,72,single,sometimes,school_bus,> 10
9832,male,group B,some college,standard,completed,68,71,72,married,sometimes,walking,< 5
9833,female,group D,some college,free/reduced,none,75,84,91,married,regularly,walking,< 5
9834,female,group C,master's degree,free/reduced,completed,70,87,89,married,regularly,private,< 5
9835,female,group C,bachelor's degree,standard,none,83,93,93,single,regularly,school_bus,> 10
9836,female,group D,some college,standard,none,55,64,63,divorced,sometimes,school_bus,> 10
9837,female,group C,some college,standard,completed,61,67,75,single,sometimes,private,5 - 10
9838,female,group A,some college,free/reduced,completed,70,86,86,single,never,walking,> 10
9839,male,group D,some high school,standard,none,73,57,59,married,sometimes,school_bus,5 - 10
9840,male,group B,master's degree,standard,none,84,77,72,married,sometimes,walking,5 - 10
9841,male,group B,high school,free/reduced,completed,51,51,55,divorced,regularly,private,> 10
9842,female,group D,some college,standard,none,86,89,86,married,sometimes,private,< 5
9843,female,group C,master's degree,standard,none,81,87,91,divorced,regularly,school_bus,5 - 10
9844,female,group E,high school,free/reduced,none,82,87,86,married,sometimes,private,< 5
9845,female,group C,some college,free/reduced,none,62,80,76,married,sometimes,school_bus,5 - 10
9846,male,group B,high school,free/reduced,completed,75,80,82,single,sometimes,school_bus,< 5
9847,male,group C,some high school,free/reduced,none,43,47,41,single,sometimes,walking,5 - 10
9848,female,group B,some high school,standard,none,83,83,87,single,sometimes,private,> 10
9849,male,group B,associate's degree,free/reduced,none,65,66,60,divorced,sometimes,private,5 - 10
9850,male,group C,bachelor's degree,free/reduced,none,55,58,56,married,sometimes,walking,5 - 10
9851,male,group C,associate's degree,standard,none,69,70,65,married,sometimes,private,5 - 10
9852,female,group C,associate's degree,free/reduced,none,54,75,70,single,regularly,school_bus,> 10
9853,male,group E,some college,standard,none,97,91,89,divorced,sometimes,school_bus,5 - 10
9854,male,group D,some college,free/reduced,none,40,39,34,single,sometimes,school_bus,< 5
9855,female,group E,high school,free/reduced,completed,67,76,75,married,regularly,walking,5 - 10
9856,female,group D,high school,standard,completed,77,85,89,married,sometimes,private,5 - 10
9857,female,group A,associate's degree,standard,completed,76,82,78,married,regularly,school_bus,5 - 10
9858,male,group E,high school,standard,completed,54,51,51,divorced,sometimes,private,< 5
9859,male,group C,high school,standard,completed,75,73,72,divorced,sometimes,private,> 10
9860,female,group C,associate's degree,standard,completed,48,54,59,divorced,sometimes,school_bus,5 - 10
9861,male,group C,some high school,free/reduced,none,71,66,67,widowed,sometimes,school_bus,< 5
9862,female,group C,bachelor's degree,standard,none,50,56,55,single,sometimes,school_bus,< 5
9863,female,group B,high school,free/reduced,none,43,56,54,married,regularly,school_bus,5 - 10
9864,male,group B,high school,standard,none,66,53,45,married,regularly,private,5 - 10
9865,male,group D,bachelor's degree,standard,completed,87,81,85,divorced,sometimes,school_bus,< 5
9866,female,group D,bachelor's degree,free/reduced,none,47,58,51,divorced,regularly,school_bus,5 - 10
9867,male,group C,some college,standard,none,54,60,59,single,regularly,school_bus,< 5
9868,female,group B,some college,free/reduced,none,40,57,58,married,never,school_bus,5 - 10
9869,female,group D,some college,standard,none,71,76,78,married,sometimes,school_bus,> 10
9870,male,group C,bachelor's degree,free/reduced,none,80,69,72,single,regularly,school_bus,5 - 10
9871,female,group A,high school,standard,completed,62,75,67,married,sometimes,private,< 5
9872,female,group C,high school,standard,none,55,67,64,married,sometimes,private,< 5
9873,female,group E,some college,free/reduced,none,67,75,71,married,sometimes,school_bus,5 - 10
9874,male,group D,high school,standard,none,57,54,51,single,regularly,private,5 - 10
9875,male,group C,bachelor's degree,free/reduced,none,71,71,65,married,sometimes,school_bus,5 - 10
9876,male,group B,some college,standard,none,59,51,46,married,sometimes,school_bus,5 - 10
9877,male,group B,some college,standard,none,77,73,77,married,regularly,private,5 - 10
9878,female,group D,some college,free/reduced,completed,67,81,80,divorced,sometimes,private,> 10
9879,male,group D,high school,standard,none,68,68,59,divorced,sometimes,school_bus,5 - 10
9880,female,group D,some college,standard,none,91,100,95,married,regularly,school_bus,5 - 10
9881,male,group D,some high school,free/reduced,none,47,51,42,married,regularly,school_bus,5 - 10
9882,female,group E,bachelor's degree,free/reduced,none,89,97,92,married,regularly,private,5 - 10
9883,male,group C,high school,standard,none,87,88,83,married,never,school_bus,5 - 10
9884,male,group D,some college,standard,completed,100,98,100,married,sometimes,school_bus,5 - 10
9885,female,group E,bachelor's degree,standard,none,72,72,68,single,regularly,private,5 - 10
9886,female,group C,some high school,standard,completed,83,91,87,single,sometimes,school_bus,5 - 10
9887,female,group E,some college,free/reduced,none,72,75,76,married,sometimes,school_bus,5 - 10
9888,male,group C,some college,standard,none,73,66,60,married,sometimes,private,5 - 10
9889,male,group C,associate's degree,standard,completed,90,95,96,single,regularly,walking,5 - 10
9890,female,group A,bachelor's degree,standard,none,33,46,48,single,sometimes,school_bus,5 - 10
9891,female,group E,associate's degree,standard,none,66,56,56,single,sometimes,school_bus,< 5
9892,female,group C,associate's degree,standard,none,51,60,54,divorced,sometimes,school_bus,< 5
9893,female,group C,some college,standard,none,56,72,71,married,regularly,walking,5 - 10
9894,male,group C,high school,standard,completed,86,84,86,married,sometimes,school_bus,< 5
9895,male,group C,associate's degree,standard,completed,67,77,70,married,regularly,school_bus,5 - 10
9896,male,group C,some college,free/reduced,none,63,52,51,married,sometimes,private,5 - 10
9897,female,group C,bachelor's degree,standard,completed,49,56,63,married,regularly,private,5 - 10
9898,female,group D,some college,standard,none,75,73,76,single,sometimes,school_bus,5 - 10
9899,female,group E,some high school,standard,none,80,72,72,married,sometimes,walking,5 - 10
9900,male,group C,associate's degree,standard,none,68,52,63,married,never,school_bus,> 10
9901,female,group E,associate's degree,standard,none,100,99,95,married,sometimes,private,< 5
9902,male,group D,high school,standard,none,73,73,66,single,sometimes,school_bus,5 - 10
9903,female,group D,some high school,free/reduced,none,42,56,55,divorced,regularly,walking,5 - 10
9904,female,group C,some high school,standard,none,47,53,48,married,sometimes,walking,5 - 10
9905,male,group C,associate's degree,free/reduced,none,58,60,60,single,sometimes,school_bus,> 10
9906,female,group C,some college,free/reduced,none,39,49,48,not specified,sometimes,private,> 10
9907,female,group C,some high school,standard,completed,64,78,84,married,regularly,private,< 5
9908,female,group D,high school,free/reduced,completed,62,74,83,single,sometimes,school_bus,5 - 10
9909,female,group C,associate's degree,standard,completed,65,79,80,married,regularly,school_bus,> 10
9910,male,group D,associate's degree,free/reduced,none,57,49,45,married,sometimes,school_bus,5 - 10
9911,female,group C,high school,standard,none,59,60,60,single,sometimes,walking,5 - 10
9912,female,group C,master's degree,standard,none,58,57,57,divorced,sometimes,school_bus,5 - 10
9913,female,group D,master's degree,free/reduced,completed,75,88,95,married,sometimes,school_bus,5 - 10
9914,male,group B,high school,standard,none,66,71,63,single,sometimes,private,> 10
9915,male,group C,some college,standard,completed,79,77,79,married,sometimes,school_bus,5 - 10
9916,female,group C,bachelor's degree,standard,completed,92,100,100,married,regularly,walking,> 10
9917,male,group D,bachelor's degree,free/reduced,none,63,66,58,married,regularly,school_bus,< 5
9918,male,group C,some college,free/reduced,none,55,44,44,divorced,regularly,private,< 5
9919,male,group D,associate's degree,standard,none,72,62,58,married,sometimes,private,> 10
9920,male,group B,some high school,free/reduced,none,36,32,32,divorced,regularly,school_bus,5 - 10
9921,female,group A,some college,standard,completed,66,75,75,married,never,school_bus,< 5
9922,male,group B,some high school,standard,none,84,77,73,married,regularly,school_bus,5 - 10
9923,male,group D,high school,standard,none,71,69,63,married,sometimes,private,5 - 10
9924,male,group D,some college,standard,completed,67,59,70,married,sometimes,school_bus,> 10
9925,male,group C,some high school,standard,none,70,81,76,divorced,sometimes,school_bus,< 5
9926,female,group C,bachelor's degree,standard,none,76,80,86,married,regularly,private,5 - 10
9927,female,group C,some college,standard,none,83,91,92,single,sometimes,private,< 5
9928,male,group C,some high school,standard,none,82,85,81,divorced,regularly,school_bus,< 5
9929,female,group E,some college,free/reduced,none,68,71,71,widowed,never,private,5 - 10
9930,male,group D,associate's degree,free/reduced,none,63,58,59,divorced,sometimes,private,5 - 10
9931,male,group D,master's degree,standard,none,89,83,88,married,sometimes,school_bus,< 5
9932,female,group D,bachelor's degree,standard,completed,79,86,93,married,sometimes,school_bus,< 5
9933,female,group D,some high school,free/reduced,none,56,60,61,divorced,regularly,school_bus,> 10
9934,female,group E,some high school,standard,completed,85,81,89,married,never,private,< 5
9935,female,group B,some high school,standard,completed,67,75,81,married,never,private,> 10
9936,male,group B,associate's degree,free/reduced,none,44,39,39,divorced,sometimes,school_bus,< 5
9937,female,group B,associate's degree,standard,completed,70,80,84,divorced,sometimes,school_bus,> 10
9938,female,group C,bachelor's degree,standard,completed,75,83,88,single,sometimes,school_bus,< 5
9939,male,group B,associate's degree,standard,none,71,68,68,divorced,never,school_bus,> 10
9940,male,group D,some high school,standard,none,58,53,48,single,sometimes,school_bus,> 10
9941,male,group C,associate's degree,standard,completed,69,66,70,married,sometimes,private,> 10
9942,female,group C,master's degree,standard,none,70,83,82,single,sometimes,private,5 - 10
9943,male,group E,some high school,standard,completed,50,54,46,married,sometimes,private,5 - 10
9944,female,group D,high school,standard,none,86,89,90,not specified,sometimes,private,5 - 10
9945,male,group B,associate's degree,standard,none,100,86,83,married,sometimes,private,> 10
9946,male,group B,high school,free/reduced,completed,57,55,47,married,sometimes,school_bus,> 10
9947,female,group E,some college,standard,none,57,58,62,single,regularly,private,5 - 10
9948,male,group E,some high school,standard,completed,83,77,74,single,sometimes,school_bus,5 - 10
9949,male,group D,high school,free/reduced,none,55,55,55,married,regularly,school_bus,> 10
9950,male,group D,some college,standard,none,68,62,55,single,sometimes,private,5 - 10
9951,male,group C,associate's degree,standard,completed,98,90,95,single,regularly,school_bus,< 5
9952,female,group A,some high school,standard,none,67,82,77,married,sometimes,private,5 - 10
9953,male,group B,bachelor's degree,standard,none,45,48,43,married,regularly,private,5 - 10
9954,male,group B,associate's degree,free/reduced,none,59,56,45,married,sometimes,school_bus,5 - 10
9955,female,group D,some high school,free/reduced,completed,59,87,82,married,never,private,< 5
9956,male,group B,some college,standard,none,52,50,47,married,regularly,private,5 - 10
9957,male,group B,high school,free/reduced,none,73,62,63,single,regularly,school_bus,< 5
